,created_doc_time,docstatus,businesstype,biddingzone_domain,qty_uom,curvetype,production_resource_id,production_resource_name,production_resource_location,plant_type,nominal_power,start,end,resolution,pstn,avail_qty
0,2016-09-14T14:43:50Z,,A53,10YIT-GRTN-----B,MAW,A03,26WIMPI-S13CDGNT,GISSI,013069041,B04,840,2017-09-29T22:00Z,2017-12-03T22:59Z,PT1M,1,420
0,2016-09-14T14:32:28Z,,A53,10Y1001A1001A70O,MAW,A03,26WIMPI-S09RSNOR,ROSEN,009049017,B04,400,2017-05-31T21:59Z,2017-12-31T22:59Z,PT1M,1,135
0,2016-09-14T14:32:33Z,,A53,10Y1001A1001A71M,MAW,A03,26WIMPI-S15STTV3,CENTRALE DI TEVEROLA ,015061092,B04,404,2017-10-09T06:00Z,2017-12-03T22:59Z,PT1M,1,0
0,2016-09-14T14:32:25Z,,A53,10Y1001A1001A71M,MAW,A03,26WIMPI-0300653B,CCGT APRILIA,012059001,B04,787,2017-11-10T23:00Z,2017-12-10T22:59Z,PT1M,1,0
0,2016-09-14T14:32:29Z,,A53,10Y1001A1001A71M,MAW,A03,26WIMPI-S15SCPRH,SPARANISE ,015061089,B04,784,2017-12-03T23:00Z,2017-12-09T22:59Z,PT1M,1,384
0,2016-09-14T14:32:32Z,,A53,10Y1001A1001A72K,MAW,A03,26WIMPI-S13CDGNT,GISSI,013069041,B04,840,2017-09-29T22:00Z,2017-12-03T22:59Z,PT1M,1,420
0,2016-09-14T14:32:30Z,,A53,10Y1001A1001A73I,MAW,A03,26WIMPI-S08EFNP0,S.E.F. SRL,008038008,B20,700,2017-10-20T22:00Z,2017-12-05T22:59Z,PT1M,1,350
0,2016-09-14T14:32:27Z,,A53,10Y1001A1001A73I,MAW,A03,26WIMPI-S08LCCS4,LA CASELLA C.LE,008033013,B20,1407,2017-11-05T23:00Z,2017-12-03T22:59Z,PT1M,1,1105
0,2016-09-14T14:32:35Z,,A53,10Y1001A1001A73I,MAW,A03,26WIMPI-S01ENTRP,ENTRACQUE_CHRO,001004084,B10,1064,2017-12-04T06:59Z,2017-12-15T15:59Z,PT1M,1,936
0,2016-09-14T14:32:36Z,,A53,10Y1001A1001A73I,MAW,A03,26WIMPI-S01ENTRP,ENTRACQUE_CHRO,001004084,B10,1064,2017-12-04T06:59Z,2017-12-15T15:59Z,PT1M,1,936
0,2016-09-14T14:32:29Z,,A53,10Y1001A1001A75E,MAW,A03,26WIMPI-S19TCRPN,TRAPANI C.LE,019081021,B04,212,2017-10-01T22:00Z,2017-12-06T22:59Z,PT1M,1,106
